timestamp,zone_id,visits,new_visits,recurrents,visitors_unique,visittime_avg,visit_time_zone_avg,visittime_avg_formated,visit_time_zone_avg_formated,presencetime_avg,presencetime_avg_formated,zone,ratio,year,month,month_name,day,dayofweek,date,hour
2023-07-01,25501,909785,123388,172516,295904,1222,1222,00:20:22,00:20:22,1222,00:20:22,zaragoza,3.0745951389639883,2023,7,Julio,1,Sábado,2023-07-01,0
2023-08-01,25501,910275,157468,138706,296174,1181,1181,00:19:41,00:19:41,1181,00:19:41,zaragoza,3.0734466901213477,2023,8,Agosto,1,Martes,2023-08-01,0
2023-09-01,25501,283632,31119,65326,96445,1113,1113,00:18:33,00:18:33,1113,00:18:33,zaragoza,2.940867852143709,2023,9,Septiembre,1,Viernes,2023-09-01,0
2023-07-01,25502,423239,40531,68997,109528,919,399,00:15:19,00:06:39,399,00:06:39,zona_delicias,3.864208238989117,2023,7,Julio,1,Sábado,2023-07-01,0
2023-08-01,25502,470416,33968,89516,123484,695,327,00:11:35,00:05:27,327,00:05:27,zona_delicias,3.8095299795924977,2023,8,Agosto,1,Martes,2023-08-01,0
2023-09-01,25502,150079,15311,43068,58379,854,369,00:14:14,00:06:09,369,00:06:09,zona_delicias,2.570770311242056,2023,9,Septiembre,1,Viernes,2023-09-01,0
2023-07-01,25503,740301,110198,133398,243596,1386,576,00:23:06,00:09:36,576,00:09:36,zona_casco,3.0390523653918784,2023,7,Julio,1,Sábado,2023-07-01,0
2023-08-01,25503,770576,133074,120446,253520,1498,689,00:24:58,00:11:29,689,00:11:29,zona_casco,3.0395077311454717,2023,8,Agosto,1,Martes,2023-08-01,0
2023-09-01,25503,214724,26322,57043,83365,1407,633,00:23:27,00:10:33,633,00:10:33,zona_casco,2.575709230492413,2023,9,Septiembre,1,Viernes,2023-09-01,0
2023-07-01,25895,380674,32624,3221,35845,2603,316,00:43:23,00:05:16,316,00:05:16,mercado_delicias,10.620002789789371,2023,7,Julio,1,Sábado,2023-07-01,0
2023-08-01,25895,405629,29298,8334,37632,2761,323,00:46:01,00:05:23,323,00:05:23,mercado_delicias,10.778831845238097,2023,8,Agosto,1,Martes,2023-08-01,0
2023-09-01,25895,152294,8518,11851,20369,2846,329,00:47:26,00:05:29,329,00:05:29,mercado_delicias,7.476753890716284,2023,9,Septiembre,1,Viernes,2023-09-01,0
2023-07-01,25460,86316,14948,8031,22979,1256,353,00:20:56,00:05:53,353,00:05:53,plaza_justicia,3.756299229731494,2023,7,Julio,1,Sábado,2023-07-01,0
2023-08-01,25460,80261,13887,7478,21365,1279,285,00:21:19,00:04:45,285,00:04:45,plaza_justicia,3.756658085654107,2023,8,Agosto,1,Martes,2023-08-01,0
2023-09-01,25460,10511,1817,2391,4208,2047,563,00:34:07,00:09:23,563,00:09:23,plaza_justicia,2.497861216730038,2023,9,Septiembre,1,Viernes,2023-09-01,0
2023-07-01,25453,138773,33477,14569,48046,1303,498,00:21:43,00:08:18,498,00:08:18,plaza_san_felipe,2.88833617782958,2023,7,Julio,1,Sábado,2023-07-01,0
2023-08-01,25453,139015,24013,17886,41899,629,418,00:10:29,00:06:58,418,00:06:58,plaza_san_felipe,3.3178596147879422,2023,8,Agosto,1,Martes,2023-08-01,0
2023-09-01,25453,24327,3896,5149,9045,1046,640,00:17:26,00:10:40,640,00:10:40,plaza_san_felipe,2.68955223880597,2023,9,Septiembre,1,Viernes,2023-09-01,0
2023-07-01,25456,127764,17388,27532,44920,789,246,00:13:09,00:04:06,246,00:04:06,plaza_san_pedro_nolasco,2.8442564559216383,2023,7,Julio,1,Sábado,2023-07-01,0
2023-08-01,25456,128390,15806,30955,46761,544,204,00:09:04,00:03:24,204,00:03:24,plaza_san_pedro_nolasco,2.745664121810911,2023,8,Agosto,1,Martes,2023-08-01,0
2023-09-01,25456,54652,6751,13286,20037,670,210,00:11:10,00:03:30,210,00:03:30,plaza_san_pedro_nolasco,2.7275540250536507,2023,9,Septiembre,1,Viernes,2023-09-01,0
2023-07-01,25446,203071,22533,37378,59911,565,145,00:09:25,00:02:25,145,00:02:25,plaza_jardin,3.3895444909949757,2023,7,Julio,1,Sábado,2023-07-01,0
2023-08-01,25446,189378,19729,37731,57460,591,136,00:09:51,00:02:16,136,00:02:16,plaza_jardin,3.2958231813435432,2023,8,Agosto,1,Martes,2023-08-01,0
2023-09-01,25446,79612,6986,17760,24746,648,153,00:10:48,00:02:33,153,00:02:33,plaza_jardin,3.217166410733048,2023,9,Septiembre,1,Viernes,2023-09-01,0
2023-07-01,25511,263658,23914,47562,71476,1330,366,00:22:10,00:06:06,366,00:06:06,zona_a,3.6887626615927025,2023,7,Julio,1,Sábado,2023-07-01,0
2023-08-01,25511,249679,26006,44179,70185,1225,328,00:20:25,00:05:28,328,00:05:28,zona_a,3.5574410486571204,2023,8,Agosto,1,Martes,2023-08-01,0
2023-09-01,25511,97936,8283,31605,39888,1023,299,00:17:03,00:04:59,299,00:04:59,zona_a,2.4552747693541916,2023,9,Septiembre,1,Viernes,2023-09-01,0
2023-07-01,25512,179326,16300,29984,46284,1367,360,00:22:47,00:06:00,360,00:06:00,zona_b,3.874470659407139,2023,7,Julio,1,Sábado,2023-07-01,0
2023-08-01,25512,208018,15015,39878,54893,1409,365,00:23:29,00:06:05,365,00:06:05,zona_b,3.789517789153444,2023,8,Agosto,1,Martes,2023-08-01,0
2023-09-01,25512,32066,3020,7654,10674,1604,424,00:26:44,00:07:04,424,00:07:04,zona_b,3.0041221660108675,2023,9,Septiembre,1,Viernes,2023-09-01,0
2023-07-01,25452,206387,39787,25700,65487,698,142,00:11:38,00:02:22,142,00:02:22,zona_c,3.151572067738635,2023,7,Julio,1,Sábado,2023-07-01,0
2023-08-01,25452,195142,49216,12703,61919,514,120,00:08:34,00:02:00,120,00:02:00,zona_c,3.15156898528723,2023,8,Agosto,1,Martes,2023-08-01,0
2023-09-01,25452,35795,6580,6961,13541,1219,378,00:20:19,00:06:18,378,00:06:18,zona_c,2.643453216158334,2023,9,Septiembre,1,Viernes,2023-09-01,0
2023-07-01,25513,273243,33743,47589,81332,1336,348,00:22:16,00:05:48,348,00:05:48,zona_d,3.3596001573796292,2023,7,Julio,1,Sábado,2023-07-01,0
2023-08-01,25513,250232,30742,43727,74469,1272,331,00:21:12,00:05:31,331,00:05:31,zona_d,3.3602170030482483,2023,8,Agosto,1,Martes,2023-08-01,0
2023-09-01,25513,93400,8877,23548,32425,1275,364,00:21:15,00:06:04,364,00:06:04,zona_d,2.8804934464148033,2023,9,Septiembre,1,Viernes,2023-09-01,0
2023-07-01,25458,167167,22323,23341,45664,1053,238,00:17:33,00:03:58,238,00:03:58,zona_e,3.6608050105115626,2023,7,Julio,1,Sábado,2023-07-01,0
2023-08-01,25458,159913,40325,2244,42569,1005,200,00:16:45,00:03:20,200,00:03:20,zona_e,3.756559937983039,2023,8,Agosto,1,Martes,2023-08-01,0
2023-09-01,25458,36111,5300,6663,11963,1294,342,00:21:34,00:05:42,342,00:05:42,zona_e,3.018557218089108,2023,9,Septiembre,1,Viernes,2023-09-01,0
2023-07-01,25459,183335,23048,32293,55341,846,195,00:14:06,00:03:15,195,00:03:15,zona_f,3.312824126777615,2023,7,Julio,1,Sábado,2023-07-01,0
2023-08-01,25459,202959,33877,30618,64495,805,234,00:13:25,00:03:54,234,00:03:54,zona_f,3.1468951081479184,2023,8,Agosto,1,Martes,2023-08-01,0
2023-09-01,25459,33098,4712,6004,10716,1158,397,00:19:18,00:06:37,397,00:06:37,zona_f,3.0886524822695036,2023,9,Septiembre,1,Viernes,2023-09-01,0
2023-07-01,25462,125427,27805,1326,29131,1282,382,00:21:22,00:06:22,382,00:06:22,zona_g,4.305619443204833,2023,7,Julio,1,Sábado,2023-07-01,0
2023-08-01,25462,121851,30726,3893,34619,1207,309,00:20:07,00:05:09,309,00:05:09,zona_g,3.51977237932927,2023,8,Agosto,1,Martes,2023-08-01,0
2023-09-01,25462,54364,11499,6189,17688,1124,274,00:18:44,00:04:34,274,00:04:34,zona_g,3.073496155585708,2023,9,Septiembre,1,Viernes,2023-09-01,0
2023-07-01,25463,137996,22469,15999,38468,1209,354,00:20:09,00:05:54,354,00:05:54,zona_h,3.587293334719767,2023,7,Julio,1,Sábado,2023-07-01,0
2023-08-01,25463,131659,22729,16642,39371,990,311,00:16:30,00:05:11,311,00:05:11,zona_h,3.3440603489878336,2023,8,Agosto,1,Martes,2023-08-01,0
2023-09-01,25463,47812,6231,9074,15305,1064,368,00:17:44,00:06:08,368,00:06:08,zona_h,3.1239464227376676,2023,9,Septiembre,1,Viernes,2023-09-01,0
